country,year,variable,cutpoint,y_r,n,survey,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode,tq,year_obs
United States,1978,l_ncca4,3,604,2187,anes_combo,383,1969,2016,l_ncca4_gt3,1,14,7,9,14,270,40
United States,1978,l_any2,1,494,1484,usgss,383,1969,2016,l_any2_gt1,1,14,8,10,14,270,40
United States,1980,l_defect2,1,1179,1419,usgss,383,1969,2016,l_defect2_gt1,1,16,1,1,16,270,40
United States,1980,l_nomore2,1,663,1407,usgss,383,1969,2016,l_nomore2_gt1,1,16,2,2,16,270,40
United States,1980,l_health2,1,1288,1429,usgss,383,1969,2016,l_health2_gt1,1,16,3,3,16,270,40
United States,1980,l_poor2,1,728,1408,usgss,383,1969,2016,l_poor2_gt1,1,16,4,4,16,270,40
United States,1980,l_rape2,1,1177,1411,usgss,383,1969,2016,l_rape2_gt1,1,16,5,5,16,270,40
United States,1980,l_single2,1,680,1404,usgss,383,1969,2016,l_single2_gt1,1,16,6,6,16,270,40
United States,1980,l_ncca4,1,2598,2909,anes_combo,383,1969,2016,l_ncca4_gt1,1,16,7,7,16,270,40
United States,1980,l_ncca4,2,1483,2909,anes_combo,383,1969,2016,l_ncca4_gt2,1,16,7,8,16,270,40
United States,1980,l_ncca4,3,944,2909,anes_combo,383,1969,2016,l_ncca4_gt3,1,16,7,9,16,270,40
United States,1980,l_any2,1,578,1406,usgss,383,1969,2016,l_any2_gt1,1,16,8,10,16,270,40
United States,1980,l_doctor2,1,1101,1440,cbsnyt198008,383,1969,2016,l_doctor2_gt1,1,16,9,11,16,270,40
United States,1981,l_doctor2,1,905,1258,cbsnyt198105,383,1969,2016,l_doctor2_gt1,1,17,9,11,17,270,40
United States,1982,l_defect2,1,1458,1775,usgss,383,1969,2016,l_defect2_gt1,1,18,1,1,18,270,40
United States,1982,l_nomore2,1,808,1763,usgss,383,1969,2016,l_nomore2_gt1,1,18,2,2,18,270,40
United States,1982,l_health2,1,1627,1800,usgss,383,1969,2016,l_health2_gt1,1,18,3,3,18,270,40
United States,1982,l_poor2,1,868,1773,usgss,383,1969,2016,l_poor2_gt1,1,18,4,4,18,270,40
United States,1982,l_rape2,1,1485,1770,usgss,383,1969,2016,l_rape2_gt1,1,18,5,5,18,270,40
